"mid","pid","userid","verified_type","text","created_at","reposts_count","comments_count","attitudes_count"
"4392488112371061","0","3094723073","0","#粉丝追星最好的方式#cxk#蔡徐坤0802生日快乐#我觉得粉丝追星的最好方式，就是和偶像一起变成更好的人吧菜菜一直以来都是身体力行的做公益，低调而有力的散发着自己的光和热。我们粉丝看到之后也会更加努力的追赶他的脚步，去尽自己的一份力。给他的生日应援也满满都是公益项目，希望在公益的路上，KUN&amp;IKUN能一直携手共进！","10/7/2019 12:50:37","4673","8113","7482"
"4392488187576966","+4392488112371061","5202463771","-1","转发微博","10/7/2019 12:50:55","0","0","1"
"4392488229853140","+4392488112371061","2613182663","-1","[心]","10/7/2019 12:51:05","0","0","0"
"4392490029198072","+4392488112371061","6613302225","-1","#蔡徐坤0802生日快乐#","10/7/2019 12:58:14","0","0","0"
"4392490163475530","+4392488112371061","2681233101","-1","h","10/7/2019 12:58:46","0","0","2"
"4392490213671391","+4392488112371061","6329615107","-1","冲冲冲","10/7/2019 12:58:58","0","0","0"
"4393543848082887","+4392488112371061","6441637771","-1","转发微博","13/7/2019 10:45:44","0","0","0"
"4393543856129871","+4392488112371061","5548743580","-1","来了！！！！！","13/7/2019 10:45:46","0","0","0"
"4393562408151278","+4392488112371061","5574786331","-1","我的外卖来嘛？？？","13/7/2019 11:59:29","0","0","0"
"4393562479685782","+4392488112371061","6717953824","-1","有信仰的人活得像一道光。[心]@蔡徐坤","13/7/2019 11:59:45","0","0","0"
"4393562487569301","+4392488112371061","1734218294","-1","来啦！","13/7/2019 11:59:47","0","0","0"
"4393562592736385","+4393541192915262","6339700742","-1","//@迷失独角兽:11:45结束，现在我第三，大家懂我的意思吗[互粉]速战速决哈[拳头]多评论！","13/7/2019 12:00:13","0","0","0"
"4393562630005367","+4392488112371061","5906081962","-1","蔡徐坤","13/7/2019 12:00:22","0","0","0"
"4393562676495260","+4392488112371061","1098258505","-1","加油在","13/7/2019 12:00:32","0","0","0"
"4393562747486070","+4392488112371061","5097981023","0","转发微博","13/7/2019 12:00:50","0","0","0"
"4393562982669984","+4393543781231882","5028411351","-1","很棒//@你要吃雪饼吗://@蔡小葵的AD钙奶://@蜗牛小恐龙://@一个平凡的好公民:差3000转赞评","13/7/2019 12:01:46","0","0","0"
"4393563167247620","+4392488112371061","5468617228","-1","转发微博","13/7/2019 12:02:30","0","0","0"
"4393569341007541","+4392488112371061","6036942132","-1","转发微博","13/7/2019 12:27:01","0","0","0"
"4393569429035911","+4393543881709470","6315101260","-1","//@兔兔最帅-河图的仓裘大王:转发微博","13/7/2019 12:27:23","0","0","0"
"4393569906922024","+4393542891400299","5663691654","-1","来了//@回兴职业律师培训机构:冲鸭！//@一个平凡的好公民:差3000转赞评","13/7/2019 12:29:16","0","0","0"
"4393569994959126","+4392488112371061","5970682604","-1","转发微博","13/7/2019 12:29:37","0","0","0"
"4393570108214761","+4393541192915262","5626332204","-1","//@迷失独角兽:11:45结束，现在我第三，大家懂我的意思吗[互粉]速战速决哈[拳头]多评论！","13/7/2019 12:30:04","0","0","0"
"4393570297440454","+4392488112371061","6585487150","-1","转发微博","13/7/2019 12:30:49","0","0","0"
"4393570913592671","+4392488112371061","5469721030","-1","我","13/7/2019 12:33:17","0","0","0"
"4393570918072276","+4392488112371061","6974437266","-1","好棒","13/7/2019 12:33:18","0","0","0"
"4393571123264278","+4392488112371061","5403531922","-1","一起变得更好@蔡徐坤","13/7/2019 12:34:06","1","0","0"
"4393571353961234","+4392488112371061","5829164560","0","[心][太开心]","13/7/2019 12:35:01","0","0","0"
"4393574650892719","+4392488112371061","6568084253","-1","转发微博","13/7/2019 12:48:08","0","0","0"
"4393574856171286","+4392488112371061","5182425855","-1","奶粉钱[ok]","13/7/2019 12:48:57","0","0","0"
"4393575083488339","+4393541192915262","6345878435","-1","//@迷失独角兽:11:45结束，现在我第三，大家懂我的意思吗[互粉]速战速决哈[拳头]多评论！","13/7/2019 12:49:51","0","0","1"
"4393577331466727","+4392488112371061","6342194975","-1","与爱之名，助力同行","13/7/2019 12:58:47","0","0","0"
"4393577515566017","+4393542891400299","5431640705","0","//@回兴职业律师培训机构:冲鸭！//@一个平凡的好公民:差3000转赞评","13/7/2019 12:59:31","11","0","0"
"4393577523708200","+4393542891400299","6557763714","-1","//@回兴职业律师培训机构:冲鸭！//@一个平凡的好公民:差3000转赞评","13/7/2019 12:59:32","0","0","0"
"4393578128148547","+4392488112371061","5715438946","-1","转发微博","13/7/2019 13:01:57","0","0","0"
"4393578190954983","+4392488112371061","5980219602","-1","我来了太棒啦叭#粉丝追星最好的方式#","13/7/2019 13:02:12","0","0","0"
"4393578287383927","+4392488112371061","5443888553","-1","转发微博","13/7/2019 13:02:35","0","0","0"
"4393580623303435","+4393541192915262","5976732564","-1","//@迷失独角兽:11:45结束，现在我第三，大家懂我的意思吗[互粉]速战速决哈[拳头]多评论！","13/7/2019 13:11:52","0","0","0"
"4393580694773222","+4393550793890925","6001869231","-1","//@缪无双:追光是把自己追成更好的人～","13/7/2019 13:12:09","0","0","0"
